orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
TOP,25,9,13,gfpga_pad_IO_A2F[141],,,,
TOP,25,9,14,gfpga_pad_IO_A2F[142],,,,
TOP,25,9,15,gfpga_pad_IO_A2F[143],,,,
TOP,25,10,0,gfpga_pad_IO_A2F[144],,,,
TOP,25,10,1,gfpga_pad_IO_A2F[145],,,,
TOP,25,10,2,gfpga_pad_IO_A2F[146],,,,
TOP,25,10,3,gfpga_pad_IO_A2F[147],,,,
TOP,25,10,4,gfpga_pad_IO_A2F[148],,,,
TOP,25,10,5,gfpga_pad_IO_A2F[149],,,,
TOP,25,10,6,gfpga_pad_IO_A2F[150],,,,
TOP,25,10,7,gfpga_pad_IO_A2F[151],,,,
TOP,25,10,8,gfpga_pad_IO_A2F[152],,,,
TOP,25,10,9,gfpga_pad_IO_A2F[153],,,,
TOP,25,10,10,gfpga_pad_IO_A2F[154],,,,
TOP,25,10,11,gfpga_pad_IO_A2F[155],,,,
TOP,25,10,12,gfpga_pad_IO_A2F[156],,,,
TOP,25,10,13,gfpga_pad_IO_A2F[157],,,,
TOP,25,10,14,gfpga_pad_IO_A2F[158],,,,
TOP,25,10,15,gfpga_pad_IO_A2F[159],,,,
TOP,25,11,0,gfpga_pad_IO_A2F[160],,,,
TOP,25,11,1,gfpga_pad_IO_A2F[161],,,,
TOP,25,11,2,gfpga_pad_IO_A2F[162],,,,
TOP,25,11,3,gfpga_pad_IO_A2F[163],,,,
TOP,25,11,4,gfpga_pad_IO_A2F[164],,,,
TOP,25,11,5,gfpga_pad_IO_A2F[165],,,,
TOP,25,11,6,gfpga_pad_IO_A2F[166],,,,
TOP,25,11,7,gfpga_pad_IO_A2F[167],,,,
TOP,25,11,8,gfpga_pad_IO_A2F[168],,,,
TOP,25,11,9,gfpga_pad_IO_A2F[169],,,,
TOP,25,11,10,gfpga_pad_IO_A2F[170],,,,
TOP,25,11,11,gfpga_pad_IO_A2F[171],,,,
TOP,25,11,12,gfpga_pad_IO_A2F[172],,,,
TOP,25,11,13,gfpga_pad_IO_A2F[173],,,,
TOP,25,11,14,gfpga_pad_IO_A2F[174],,,,
TOP,25,11,15,gfpga_pad_IO_A2F[175],,,,
TOP,25,12,0,gfpga_pad_IO_A2F[176],,,,
TOP,25,12,1,gfpga_pad_IO_A2F[177],,,,
TOP,25,12,2,gfpga_pad_IO_A2F[178],,,,
TOP,25,12,3,gfpga_pad_IO_A2F[179],,,,
TOP,25,12,4,gfpga_pad_IO_A2F[180],,,,
TOP,25,12,5,gfpga_pad_IO_A2F[181],,,,
TOP,25,12,6,gfpga_pad_IO_A2F[182],,,,
TOP,25,12,7,gfpga_pad_IO_A2F[183],,,,
TOP,25,12,8,gfpga_pad_IO_A2F[184],,,,
TOP,25,12,9,gfpga_pad_IO_A2F[185],,,,
TOP,25,12,10,gfpga_pad_IO_A2F[186],,,,
TOP,25,12,11,gfpga_pad_IO_A2F[187],,,,
TOP,25,12,12,gfpga_pad_IO_A2F[188],,,,
TOP,25,12,13,gfpga_pad_IO_A2F[189],,,,
TOP,25,12,14,gfpga_pad_IO_A2F[190],,,,
TOP,25,12,15,gfpga_pad_IO_A2F[191],,,,
TOP,25,13,0,gfpga_pad_IO_A2F[192],,,,
TOP,25,13,1,gfpga_pad_IO_A2F[193],,,,
TOP,25,13,2,gfpga_pad_IO_A2F[194],,,,
